src,dst,weight
Rick Jordan,Roberta Green,2.0
Rick Jordan,Wesley Atkins,1.0
Rick Jordan,Wesley Davenport,2.0
Rita Miller,Robert Lewis,2.0
Rita Miller,Samantha Foley,2.0
Rita Miller,Todd Lyons,1.0
Robert Hines,Tammy Donovan,1.0
Robert Hines,Veronica Stevens,2.0
Robert Lewis,Roger Miller,2.0
Robert Love,Roberta Green,1.0
Robert Love,Timothy Brennan,1.0
Roberta Green,Samantha Fitzgerald,1.0
Roberta Green,Savannah Barker,1.0
Roberta Green,Timothy Brennan,1.0
Roger Miller,Savannah Barker,2.0
Ryan Turner,Thomas Torres,2.0
Samantha Fitzgerald,Scott Chen,1.0
Samantha Fitzgerald,Stephanie Roberts,4.0
Samantha Foley,Samuel Anderson,1.0
Samuel Anderson,Sarah Morse,2.0
Samuel Anderson,Veronica Stevens,8.0
Sarah Knight,Sean Beltran,4.0
Sarah Knight,Victoria Miller,4.0
Sarah Knight,William Webb,4.0
Sarah Knight,Zachary Wagner,4.0
Sarah Morse,Scott Chen,1.0
Sarah Morse,Tammy Donovan,1.0
Savannah Barker,Seth Daniel,2.0
Savannah Barker,Sharon Nelson,1.0
Savannah Barker,Stacey Rodriguez,1.0
Savannah Barker,Thomas Torres,1.0
Savannah Barker,Todd Lyons,1.0
Savannah Barker,Vincent Tran,1.0
Savannah Barker,Zachary Carter,2.0
Savannah Barker,Zachary Wagner,1.0
Scott Chen,Timothy Brennan,1.0
Sean Beltran,Victoria Miller,1.0
Stephanie Roberts,Tammy Donovan,1.0
Thomas Torres,Vincent Tran,4.0
Timothy Brennan,Veronica Stevens,1.0
Todd Lyons,Victoria Miller,1.0
Tracy Miller,Veronica Stevens,1.0
Tracy Miller,Wesley Davenport,1.0
Veronica Stevens,Wesley Davenport,1.0
Victoria Miller,Vincent Tran,1.0
Victoria Miller,William Webb,2.0
Victoria Miller,Zachary Wagner,1.0
Wesley Atkins,Wesley Davenport,1.0
William Webb,Zachary Wagner,4.0
